2015-09-23 15:49:03 Notice: Notice (8): Undefined variable: contrat_id in [APP/controllers/fanfarons_controller.php, line 163]
2015-09-23 15:49:09 Notice: Notice (8): Undefined variable: contrat_id in [APP/controllers/fanfarons_controller.php, line 163]
2015-10-25 19:28:26 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2015-10-25 19:28:27 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2016-02-19 19:23:06 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2016-02-19 19:23:06 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2018-11-04 18:13:37 Notice: Notice (8): Undefined index: deguiz in [APP/views/contrats/view.ctp, line 48]
2018-11-04 18:19:06 Notice: Notice (8): Undefined index: deguiz in [APP/views/contrats/view.ctp, line 48]
2018-11-04 18:21:26 Notice: Notice (8): Undefined index: deguiz in [APP/views/contrats/view.ctp, line 48]
2018-11-04 18:21:33 Notice: Notice (8): Undefined index: deguiz in [APP/views/contrats/view.ctp, line 48]
2018-11-04 18:23:01 Notice: Notice (8): Undefined index: deguiz in [APP/views/contrats/view.ctp, line 48]
2018-11-04 18:24:07 Notice: Notice (8): Undefined index: deguiz in [APP/views/contrats/view.ctp, line 48]
2018-11-04 18:24:50 Notice: Notice (8): Undefined index: deguiz in [APP/views/contrats/view.ctp, line 48]
2018-11-04 18:25:26 Notice: Notice (8): Undefined index: deguiz in [APP/views/contrats/view.ctp, line 48]
